Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
100001,Medical,Sophomore,3.192,7.78,Copywriting/Drafting,Advanced,4,FALSE,7.77,1,Allowed_With_Disclosure,1,3.244,83.95,High
100002,Humanities,Sophomore,3.683,22.29,Debugging/Troubleshooting,Intermediate,2,FALSE,17.04,3,Allowed_With_Disclosure,4,3.375,81.22,Medium
100003,STEM,Senior,3.45,3.57,Summarizing_Reading,Beginner,3,FALSE,9.38,1,Strict_Ban,3,3.298,100,Medium
100004,Medical,Freshman,2.878,11.37,Copywriting/Drafting,Intermediate,1,TRUE,,1,Allowed_With_Disclosure,10,2.966,72.9,Medium
100005,Medical,Junior,3.915,28.16,Ideation,Beginner,5,FALSE,6.63,1,Allowed_With_Citation,9,2.316,,High
100006,Humanities,Junior,2.586,5.28,Summarizing_Reading,Intermediate,2,FALSE,16.26,2,Strict_Ban,3,3.279,81.72,Medium
100007,STEM,Senior,3.31,1.9,Copywriting/Drafting,Beginner,4,FALSE,12.34,4,Allowed_With_Citation,3,3.118,73.12,Medium
100008,STEM,Senior,2.871,13.36,Ideation,Intermediate,5,FALSE,14.68,4,Strict_Ban,6,2.962,59.54,Medium
100009,Medical,Junior,2.605,6.45,Debugging/Troubleshooting,Advanced,2,FALSE,9.2,2,Allowed_With_Disclosure,9,2.949,47.31,Low
100010,Business,Junior,2.746,16.03,Copywriting/Drafting,Intermediate,5,TRUE,8.42,5,Allowed_With_Disclosure,5,3.555,67.55,Medium
100011,Medical,Freshman,3.18,17.63,Debugging/Troubleshooting,Intermediate,1,TRUE,10.24,2,Strict_Ban,4,2.935,69.84,High
100012,Medical,Senior,3.34,16.92,Ideation,Beginner,1,FALSE,13.83,5,Allowed_With_Disclosure,4,4,96.03,Low
100013,Medical,Freshman,3.624,143.2314281,Summarizing_Reading,Intermediate,3,FALSE,10.5,2,Allowed_With_Disclosure,9,2.864,77.9,Low
100014,Medical,Senior,3.79,26.52,Debugging/Troubleshooting,Advanced,2,FALSE,14.38,4,Strict_Ban,5,4,72.8,Medium
100015,Humanities,Senior,3.311,4.8,Copywriting/Drafting,Intermediate,1,TRUE,18.13,3,Allowed_With_Citation,6,3.699,65.71,Medium
100016,STEM,Freshman,3.023,19.91,Copywriting/Drafting,Beginner,3,FALSE,12.87,3,Allowed_With_Disclosure,5,3.209,96.88,Low
100017,Humanities,Sophomore,3.616,6.23,Ideation,Intermediate,5,TRUE,13.53,5,Strict_Ban,6,2.924,100,Medium
100018,Humanities,Sophomore,2.954,7.93,Summarizing_Reading,Advanced,5,TRUE,10.9,5,Allowed_With_Disclosure,3,3.058,66.97,Medium
100019,Humanities,Sophomore,2.562,14.83,Ideation,Advanced,1,TRUE,8.54,1,Allowed_With_Citation,8,3.8,76.96,Medium
100020,Medical,Senior,3.576,6.98,Ideation,Beginner,4,TRUE,15.33,4,Allowed_With_Citation,10,3.598,71.71,Medium
100021,Business,Freshman,3.73,20.59,Copywriting/Drafting,Advanced,2,TRUE,13.13,5,Allowed_With_Disclosure,7,2.602,77.91,Medium
100022,STEM,Sophomore,2.871,2.91,Debugging/Troubleshooting,Beginner,3,FALSE,15.25,4,Allowed_With_Citation,3,3.518,71.81,High
100023,Business,Junior,3.984,22.25,Debugging/Troubleshooting,Advanced,5,FALSE,9.87,3,Allowed_With_Disclosure,9,4,86.2,Medium
100024,Humanities,Sophomore,3.433,18.39,Summarizing_Reading,Beginner,3,FALSE,15.06,3,Allowed_With_Citation,7,3.283,76.71,Medium
100025,Humanities,Freshman,3.374,19.88,Summarizing_Reading,,3,FALSE,15.95,4,Allowed_With_Citation,7,2.828,77.87,High
100026,Business,Senior,2.993,5.71,Copywriting/Drafting,Beginner,1,FALSE,13.03,3,Allowed_With_Citation,10,2.908,77.7,Medium
